LON,LAT,EDO,CLAVE,ESTACION,ene-25
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",10.2
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",13.2
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",14.0
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",7.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",13.2
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",11.1
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",5.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0.0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",11.3
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",11.0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",14.1
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",10.6
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",14.6
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",9.7
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",15.8
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0.5
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",15.9
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",14.8
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0.0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",18.9
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",21.6
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",15.9
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0.0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",17.4
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0.6
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",14.0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.0
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.0
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo Diaz Ordaz, B.C.S. SMN*",0.2
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",1.0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.0
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.0
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.0
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0.0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0.0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",12.8
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",14.6
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",22.8
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",29.9
-91.962778,20.203889,CAMP,CAYOARCASmar,"Cayo Arcas, Camp. SEMAR*",8.6
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",6.0
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",33.2
