Lon,Lat,Clave,Edo,Est,Tmed
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,17.4
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,16.1
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,17.6
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,18.6
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,17.7
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,16.6
-102.68,22,CDRAG,AGS,La Codorniz Ags.,20.2
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,18.4
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,17.5
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,16.3
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,17.8
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,17.7
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,17.4
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,12.6
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,9.4
-102.29,21.85,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SGT*,18.0
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,17.0
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,14.4
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,9.7
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,15.8
-116.83,32.47,EFLBN,BC,El Florido B.C.,15.4
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,16.3
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,19.1
-115.27,32.39,MXCBN,BC,Mexicali B.C.,20.5
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,13.6
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,13.6
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,14.3
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,13.3
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,16.5
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,15.9
-114.85,31.03,SFLBN,BC,Observatorio de San Felipe B.C.,18.3
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,18.7
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,19.3
-115.5,31.1,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,6.7
-116.97,32.54,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,15.4
-115.25,32.63,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,17.7
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,7.9
-116.17,31.1,ENSBN,BC,Observatorio de Ensenada B.C.,14.4
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,16.5
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,14.7
-115.95,30.6,SANISIDROS,BC,San Isidro B.C. SIMARBC*,12.2
-116.38,31.27,ERENDIRA,BC,Erendira B.C. SIMARBC*,12.3
-116.41,31.56,SANTOTOMASS,BC,Santo Tom·s B.C. SIMARBC*,13.7
-116.61,31.7,MANEADERO,BC,Maneadero B.C. SIMARBC*,12.6
-116.62,32.07,ELPORVENIRS,BC,El Porvenir B.C. SIMARBC*,12.0
-116.52,32.12,GUADALUPES,BC,Guadalupe B.C. SIMARBC*,14.4
-116.65,32.38,LASPALMASS,BC,Las Palmas B.C. SIMARBC*,14.0
-115.04,32.67,ANDRADE,BC,Andrade B.C. SIMARBC*,16.7
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,10.6
-115.37,32.54,MEXICALIS,BC,Mexicali B.C. SIMARBC*,16.1
-116.62,31.85,ENSENADAmar,BC,Ensenada B.C. SEMAR*,14.3
-115.19,32.41,ENVOLEONob,BC,Observatorio del Ejido Nuevo LeÛn B.C. SMN*,18.7
-116.24,31.91,OJOSNEGROS,BC,Ojos Negros B.C. SIMARBC*,12.6
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,18.5
-115.2,32.41,NUEVOLEON,BC,Nuevo LeÛn B.C. SIMARBC*,16.1
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,18.8
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,19.4
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,22.3
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,22.4
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,18.4
-109.71,23.12,SJCBS,BCS,San JosÈ del Cabo B.C.S.,19.1
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,17.7
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,17.8
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,21.5
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,16.1
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,20.7
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,18.3
-110,24.08,SARBS,BCS,El Sargento B.C.S.,18.5
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,14.4
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,15.3
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,18.0
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,18.1
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,20.2
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,19.4
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,19.5
-112.27,27.34,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,18.2
-109.72,23.14,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,20.0
-110.37,24.08,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,18.2
-111.35,25.99,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,20.9
-109.42,23.45,CPULMO,BCS,Cabo Pulmo B.C.S. SMN*,20.2
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,20.9
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,18.6
-109.94,22.95,MMSL,BCS,AerÛdromo Internacional de Cabo San Lucas B.C.S.,20.8
-114.02,27.98,UABCSCGNJ,BCS,UABCS Campus Guerrero Negro B.C.S. JCAS*,15.2
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo Diaz Ordaz B.C.S. SMN*,17.2
-112.25,27.28,STAROSALIAob,BCS,Observatorio de Santa RosalÌa B.C.S. SMN*,21.3
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,17.2
-111.65,25.01,CDCONSTITUCIONo,BCS,Ciudad ConstituciÛn Ob B.C.S. SGT*,19.9
-111.35,26.01,LORETOob,BCS,Observatorio de Loreto B.C.S. SMN*,19.8
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,25.1
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,25.5
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,27.8
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,27.3
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,27.2
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,25.6
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,25.4
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,27.0
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,26.4
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,25.8
-90.56,19.83,CMPCA,CAMP,Campeche Camp.,27.3
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,26.9
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,26.0
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,28.7
-91.8,18.65,MMCE,CAMP,Aeropuerto Internacional de Ciudad del Carmen Camp.*,26.7
-90.5,19.81,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,25.8
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,24.7
-90.31,19.01,YOHALTUM,CAMP,Yohalt˙n Camp. SMN*,25.5
-92.1,18.25,PALIZADACA,CAMP,Palizada Camp. SMN*,26.4
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,26.8
