LON,LAT,EDO,CLAVE,ESTACION,mar-25
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",0
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",0
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",0.02
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",0
-102.291111,21.851111,AGS,AGUASCALIENTESo,"Observatorio de Aguascalientes, Ags. SGT*",0
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",0
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",0
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",0
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",58.42
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",5.52
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",84.8
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",72.61
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",83.7
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",59.01
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.25
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",125.93
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",6.74
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",3.91
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",51.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",5.55
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",50.8
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",33.6
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",117
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.04
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",7.51
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo Diaz Ordaz, B.C.S. SMN*",0.4
