LON,LAT,EDO,CLAVE,ESTACION,jun-25,,
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",171.39,,
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",176.22,,
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",136.4,,
-102.296667,22.362778,AGS,CSOAG,"Cos°o, Ags.",83.02,,
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabell¢n, Ags.",164.4,,
-102.371667,21.78,AGS,NGRAG,"El Ni†gara, Ags.",123.91,,
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",77.5,,
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",197.72,,
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",175,,
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",169,,
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",146.73,,
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",225.91,,
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",131.21,,
-102.291111,21.851111,AGS,AGUASCALIENTESo,"Observatorio de Aguascalientes, Ags. SGT*",76,,
-102.279167,22.147222,AGS,PBLAG,"Pabell¢n, Ags.",100.21,,
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",105,,
-102.417222,22.141111,AGS,PECAG,"Plutarco El°as Calles, Ags.",252.12,,
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",160,,
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepci¢n, Ags.",80.47,,
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",111.2,,
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",156,,
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra Fr°a, Ags. SMN*",157.4,,
-102.0675,22.097778,AGS,VJZAG,"Villa Ju†rez, Ags.",145.06,,
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodr°guez, B.C.",1.3,,
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0,,
-116.584444,32.243056,BC,CSRBN,"Carmen Serd†n, B.C.",0,,
-114.719167,29.727222,BC,CATAVINA,"Catavi§a, B.C. SMN*",11,,
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1.8,,
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.01,,
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0,,
-116.6025,31.890278,BC,ELZBN,"Emilio L¢pez Zamora, B.C.",0,,
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0,,
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.01,,
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",0,,
-116.160833,31.251944,BC,LLANOCOLORADO,"Llano Colorado, B.C. INIFAP*",0.3,,
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.01,,
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo Le¢n, B.C.",0.01,,
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",12.4,,
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",1.2,,
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2.3,,
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio L¢pez Zamora, B.C. SMN*",0,,
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",8,,
-115.931389,30.517222,BC,ENBBN,"San Quint°n, B.C.",0.6,,
-115.9375,30.531111,BC,SQNBN,"San Quint°n, B.C. SMN*",0.4,,
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.2,,
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.1,,
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01,,
-113.457778,27.643611,BCS,DORBS,"D°az Ordaz, B.C.S.",0,,
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0,,
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.02,,
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo Diaz Ordaz, B.C.S. SMN*",1,,
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.03,,
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.01,,
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0,,
-111.983056,26.896111,BCS,MLGBS,"MulegÇ, B.C.S.",0.5,,
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constituci¢n, B.C.S.",0,,
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.01,,
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",11.8,,
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosal°a, B.C.S.",0,,
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0,,
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",5.51,,
